gender,age,senior_citizen,dependents,number_of_dependents,married,city,phone_service,internet_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_charges,avg_monthly_long_distance_charges,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,referred_a_friend,number_of_referrals,satisfaction_score,cltv,customer_status,churn_score,churn_value,churn_category,churn_reason
Female,37,No,No,0,Yes,Frazier Park,Yes,Yes,No,Yes,No,Yes,Yes,No,No,Cable,One Year,Yes,Mailed check,65.6,42.39,593.3,0.0,0,381.51,974.81,9,No,16,Yes,No Offer,Yes,2,3,2205,Stayed,65,0,Not Applicable,
Male,46,No,No,0,No,Glendale,Yes,Yes,No,No,No,No,No,Yes,Yes,Cable,Month-to-Month,No,Mailed check,59.9,10.69,542.4,38.33,10,96.21,610.28,9,Yes,10,No,No Offer,No,0,5,5414,Stayed,66,0,Not Applicable,
Male,50,No,No,0,No,Costa Mesa,Yes,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,73.9,33.65,280.85,0.0,0,134.6,415.45,4,No,30,Yes,Offer E,No,0,1,4479,Churned,71,1,Competitor,Competitor had better devices
Male,78,Yes,No,0,Yes,Martinez,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,98.0,27.82,1237.85,0.0,0,361.66,1599.51,13,No,4,Yes,Offer D,Yes,1,1,3714,Churned,91,1,Dissatisfaction,Product dissatisfaction
Female,75,Yes,No,0,Yes,Camarillo,Yes,Yes,No,No,No,Yes,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,83.9,7.38,267.4,0.0,0,22.14,289.54,3,No,11,Yes,No Offer,Yes,3,1,3464,Churned,68,1,Dissatisfaction,Network reliability
Female,23,No,Yes,3,No,Midpines,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Cable,Month-to-Month,Yes,Credit card (automatic),69.4,16.77,571.45,0.0,0,150.93,722.38,9,No,73,Yes,Offer E,No,0,3,5108,Stayed,55,0,Not Applicable,
Female,67,Yes,No,0,Yes,Lompoc,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),109.7,9.96,7904.25,0.0,0,707.16,8611.41,71,No,14,Yes,Offer A,Yes,1,3,5011,Stayed,26,0,Not Applicable,
Male,52,No,No,0,Yes,Napa,Yes,Yes,Yes,No,No,Yes,No,No,No,Fiber Optic,Two Year,Yes,Credit card (automatic),84.65,12.96,5377.8,0.0,20,816.48,6214.28,63,Yes,7,No,Offer B,Yes,8,4,4604,Stayed,49,0,Not Applicable,
Female,68,Yes,No,0,No,Simi Valley,Yes,Yes,Yes,No,No,No,No,No,No,DSL,Two Year,Yes,Electronic check,48.2,10.53,340.35,0.0,0,73.71,414.06,7,No,21,Yes,Offer E,No,0,3,5525,Stayed,34,0,Not Applicable,
Female,43,No,Yes,1,Yes,Sheridan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,Yes,Mailed check,90.45,28.46,5957.9,0.0,0,1849.9,7807.8,65,Yes,14,Yes,No Offer,Yes,3,3,5509,Stayed,25,0,Not Applicable,
