gender,age,senior_citizen,dependents,number_of_dependents,city,phone_service,online_security,online_backup,device_protection,premium_tech_support,streaming_tv,streaming_movies,streaming_music,internet_type,contract,paperless_billing,payment_method,monthly_charges,avg_monthly_long_distance_charges,tenure,multiple_lines,avg_monthly_gb_download,unlimited_data,offer,number_of_referrals,satisfaction_score,cltv,churn_score,churn_value
Female,37,No,No,0,Frazier Park,Yes,No,Yes,No,Yes,Yes,No,No,Cable,One Year,Yes,Mailed check,65.6,42.39,9,No,16,Yes,No Offer,2,3,2205,65,0
Male,46,No,No,0,Glendale,Yes,No,No,No,No,No,Yes,Yes,Cable,Month-to-Month,No,Mailed check,59.9,10.69,9,Yes,10,No,No Offer,0,5,5414,66,0
Male,50,No,No,0,Costa Mesa,Yes,No,No,Yes,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,73.9,33.65,4,No,30,Yes,Offer E,0,1,4479,71,1
Male,78,Yes,No,0,Martinez,Yes,No,Yes,Yes,No,Yes,Yes,No,Fiber Optic,Month-to-Month,Yes,Electronic check,98.0,27.82,13,No,4,Yes,Offer D,1,1,3714,91,1
Female,75,Yes,No,0,Camarillo,Yes,No,No,No,Yes,Yes,No,No,Fiber Optic,Month-to-Month,Yes,Mailed check,83.9,7.38,3,No,11,Yes,No Offer,3,1,3464,68,1
Female,23,No,Yes,3,Midpines,Yes,No,No,No,Yes,Yes,Yes,Yes,Cable,Month-to-Month,Yes,Credit card (automatic),69.4,16.77,9,No,73,Yes,Offer E,0,3,5108,55,0
Female,67,Yes,No,0,Lompoc,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Bank transfer (automatic),109.7,9.96,71,No,14,Yes,Offer A,1,3,5011,26,0
Male,52,No,No,0,Napa,Yes,Yes,No,No,Yes,No,No,No,Fiber Optic,Two Year,Yes,Credit card (automatic),84.65,12.96,63,Yes,7,No,Offer B,8,4,4604,49,0
Female,68,Yes,No,0,Simi Valley,Yes,Yes,No,No,No,No,No,No,DSL,Two Year,Yes,Electronic check,48.2,10.53,7,No,21,Yes,Offer E,0,3,5525,34,0
Female,43,No,Yes,1,Sheridan,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Cable,Two Year,Yes,Mailed check,90.45,28.46,65,Yes,14,Yes,No Offer,3,3,5509,25,0
Male,47,No,No,0,Rancho Santa Fe,No,Yes,No,No,Yes,Yes,No,No,Cable,Two Year,No,Credit card (automatic),45.2,0.0,54,No,10,Yes,No Offer,0,4,5435,54,0
Female,25,No,Yes,2,Sunnyvale,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Fiber Optic,Two Year,Yes,Credit card (automatic),116.8,16.01,72,Yes,59,Yes,No Offer,2,3,6252,52,0
Female,58,No,No,0,Antelope,Yes,No,No,No,No,No,No,No,Fiber Optic,Month-to-Month,Yes,Electronic check,68.95,18.65,5,No,10,Yes,No Offer,0,3,5536,57,0
Female,32,No,No,0,La Mesa,Yes,Yes,Yes,Yes,No,Yes,No,No,Fiber Optic,Two Year,Yes,Bank transfer (automatic),101.3,2.25,72,Yes,16,Yes,Offer A,0,3,5513,53,0
